global_step,loss
650,0.851587
651,0.859653
652,0.642134
653,0.367794
654,0.592397
655,0.525216
656,2.067023
657,0.392574
658,0.850222
659,2.070517
660,1.489789
661,0.661337
662,0.84632
663,212.24762
664,1.84889
665,1.858062
666,0.394453
667,0.338563
668,1.262842
669,1.264999
670,0.29822
671,210.267227
672,12.367378
673,0.408674
674,0.82614
675,0.652978
676,212.16394
677,1.729056
678,16.412989
679,3.689734
680,0.700612
681,207.831512
682,0.239535
683,0.252435
684,0.845757
685,210.919052
686,1.432397
687,1.619468
688,2.787377
689,0.697536
690,4.859571
691,3.045792
692,204.253586
693,1.11414
694,1.299215
695,0.805449
696,0.553489
697,1.044552
698,1.589055
699,0.6429
700,204.182831
701,2.480178
702,1.000028
703,0.880078
704,0.717183
705,201.659607
706,4.99654
707,4.290504
708,2.462967
709,1.606872
710,1.102123
711,12.404196
712,200.902206
713,0.746765
714,0.806639
715,1.767061
716,1.289871
717,0.903944
718,0.788081
719,1.17826
720,2.507531
721,200.139267
722,0.6089
723,194.906509
724,1.327241
725,0.88697
726,5.935374
727,1.180303
728,0.727058
729,1.314913
730,1.104937
731,1.944986
732,2.971651
733,4.511112
734,1.800971
735,0.810783
736,2.858737
737,200.107391
738,4.843954
739,1.43326
740,0.706375
741,1.765578
742,0.936268
743,2.440875
744,4.167696
745,1.0554
746,3.645303
747,2.053496
748,4.050005
749,1.014947
750,1.572129
751,0.716784
752,0.80544
753,3.362635
754,4.670876
755,1.282663
756,4.523338
757,1.344398
758,1.266286
759,3.44017
760,1.078182
761,1.647489
762,0.870021
763,2.441221
764,1.335974
765,5.01833
766,0.972273
767,1.902036
768,0.981415
769,3.995428
770,197.771393
771,195.547104
772,1.462679
773,9.580079
774,1.046864
775,1.220587
776,2.571021
777,1.702661
778,1.592713
779,7.892628
780,191.40683
781,0.839992
782,0.854083
783,1.085513
784,3.822821
785,1.494974
786,0.603383
787,1.162301
788,11.813335
789,1.122534
790,2.487473
791,1.484848
792,2.868442
793,11.971307
794,1.306358
795,1.181444
796,3.336775
797,1.615985
798,0.3403
799,1.117168
800,3.196492
801,3.354867
802,0.784283
803,1.387252
804,2.609021
805,4.453025
806,2.582968
807,3.556844
808,8.69792
809,11.826968
810,4.176499
811,1.457873
812,2.538752
813,4.140565
814,2.589745
815,8.238935
816,2.417782
817,3.070338
818,2.331226
819,2.276404
820,2.409241
821,2.760736
822,196.50824
823,2.601741
824,2.414682
825,1.703818
826,186.031311
827,1.801109
828,3.301846
829,2.571489
830,3.006606
831,3.888161
832,4.542505
833,2.179741
834,2.827609
835,1.364811
836,3.86898
837,2.351823
838,6.80436
839,3.503701
840,5.536139
841,1.479615
842,3.107292
843,1.5153
844,5.681069
845,1.601949
846,1.39591
847,3.399603
848,0.882917
849,12.53245
850,1.120683
851,1.271127
852,4.023804
853,2.015003
854,11.653197
855,2.520303
856,1.34904
857,175.196854
858,0.717512
859,3.363737
860,2.77618
861,1.197584
862,5.796433
863,3.356667
864,3.129337
865,193.157227
866,11.526468
867,190.123734
868,1.425612
869,14.13535
870,8.4451
871,1.361638
872,1.88844
873,3.405941
874,2.414755
875,4.028586
876,2.401652
877,2.37709
878,2.519636
879,2.576754
880,1.972786
881,191.296921
882,1.279986
883,171.149643
884,171.971298
885,1.2273
886,1.597718
887,3.101977
888,1.1227
889,1.987116
890,7.164497
891,0.564732
892,169.548828
893,176.682632
894,1.916027
895,0.292814
896,2.933333
897,1.37534
898,5.981718
899,2.271694
900,3.722672
901,3.441087
902,3.677769
903,2.371582
904,8.881031
905,7.731382
906,11.320891
907,1.815468
908,167.276993
909,5.542418
910,3.613126
911,1.648275
912,3.102228
913,5.144966
914,13.384189
915,6.902585
916,4.375412
917,1.233545
918,1.528981
919,15.094244
920,190.24144
921,191.454224
922,144.928482
923,1.182692
924,2.951426
925,6.435848
926,9.164148
927,139.832275
928,3.955883
929,1.518854
930,1.645952
931,14.297004
932,2.363845
933,1.374551
934,4.566648
935,1.091987
936,3.54675
937,7.918262
938,165.288681
939,1.492225
940,1.45507
941,7.218378
942,4.774958
943,3.64762
944,2.21829
945,9.288891
946,7.761006
947,184.881989
948,6.296143
949,3.09075
950,5.475857
951,185.345413
952,4.954109
953,5.073219
954,4.660317
955,3.974674
956,1.151864
957,3.632887
958,2.595315
959,3.607352
960,165.809967
961,4.415704
962,6.390239
963,6.176183
964,6.63039
965,6.068378
966,6.08542
967,13.710322
968,1.959188
969,1.756317
970,8.054367
971,5.534656
972,2.166436
973,2.603231
974,3.09724
975,5.923203
976,2.610365
977,1.086947
978,2.622118
979,1.233237
980,12.9406
981,6.786317
982,2.231279
983,2.199914
984,1.638464
985,4.749277
986,5.590096
987,1.033774
988,1.768268
989,3.414623
990,4.069332
991,4.886041
992,1.56228
993,1.010946
994,5.553951
995,6.380774
996,10.034722
997,9.881811
998,0.640257
999,1.488263
1000,179.053833
1001,5.0049
1002,3.740438
1003,15.310241
1004,2.436378
1005,155.899521
1006,5.846865
1007,3.319347
1008,4.236927
1009,133.523163
1010,6.960611
1011,3.692156
1012,5.230029
1013,1.110509
1014,13.953058
1015,2.226902
1016,17.293844
1017,11.30041
1018,1.238919
1019,7.36436
1020,6.356419
1021,4.930617
1022,5.285217
1023,2.177522
1024,7.380855
1025,7.074052
1026,8.940816
1027,9.680906
1028,5.915827
1029,4.211011
1030,4.163236
1031,1.952285
1032,2.978571
1033,8.646547
1034,5.29632
1035,3.916649
1036,4.457168
1037,18.440088
1038,3.723656
1039,2.814721
1040,179.044403
1041,2.871979
1042,11.066947
1043,2.194805
1044,5.122055
1045,4.196691
1046,3.515587
1047,7.967192
1048,3.023425
1049,3.874398
1050,2.351364
1051,5.371823
1052,7.374786
1053,2.767326
1054,6.207292
1055,5.381599
1056,13.886324
1057,5.830686
1058,10.352663
1059,9.02237
1060,8.05534
1061,3.197346
1062,2.963414
1063,3.328212
1064,10.533749
1065,2.49613
1066,2.431534
1067,4.277131
1068,185.809982
1069,9.562399
1070,4.775283
1071,3.848382
1072,1.988165
1073,1.141796
1074,3.10027
1075,4.142599
1076,7.215849
1077,3.800012
1078,7.471966
1079,5.531695
1080,4.42186
1081,2.987803
1082,6.005235
1083,1.980845
1084,1.416047
1085,5.679721
1086,2.517447
1087,1.984729
1088,15.726766
1089,7.90211
1090,5.052053
1091,2.660142
1092,3.58181
1093,0.964778
1094,3.610926
1095,2.481779
1096,1.945413
1097,10.383232
1098,4.379591
1099,9.725037
1100,22.240377
1101,1.221507
1102,3.300669
1103,10.518192
1104,8.063618
1105,3.418029
1106,3.071945
1107,3.698326
1108,2.580853
1109,5.577207
1110,5.106777
1111,7.587436
1112,125.729546
1113,12.786832
1114,4.933959
1115,3.083918
1116,6.595673
1117,2.104102
1118,4.506431
1119,6.176578
1120,4.586314
1121,1.333029
1122,5.161249
1123,6.145004
1124,5.907978
1125,2.257168
1126,3.61578
1127,3.132467
1128,7.260075
1129,9.262383
1130,8.034985
1131,7.59371
1132,17.632967
1133,3.643129
1134,5.369356
1135,5.139715
1136,3.884265
1137,2.863022
1138,2.353086
1139,125.088776
1140,2.485086
1141,4.215308
1142,5.26657
1143,1.078767
1144,2.397888
1145,4.621415
1146,5.070341
1147,4.550181
1148,180.239899
1149,3.010786
1150,4.410886
1151,5.366175
1152,8.098233
1153,1.970402
1154,13.064861
1155,5.835158
1156,6.719903
1157,4.810683
1158,5.718037
1159,3.143952
1160,3.585777
1161,4.988655
1162,3.859778
1163,4.825727
1164,175.314087
1165,287.515076
1166,6.447461
1167,9.373252
1168,3.281162
1169,8.132783
1170,4.902366
1171,147.493164
1172,12.991227
1173,2.235912
1174,1.757309
1175,7.596541
1176,5.751227
1177,2.886668
1178,3.716586
1179,9.966076
1180,2.376638
1181,3.367747
1182,3.872718
1183,4.959294
1184,5.847435
1185,5.109632
1186,2.635837
1187,8.480453
1188,147.509232
1189,5.874128
1190,2.211461
1191,4.452892
1192,7.325449
1193,2.255395
1194,5.782809
1195,4.118242
1196,5.036418
1197,6.732963
1198,123.798866
1199,4.143847
1200,4.995065
1201,126.440819
1202,3.243041
1203,7.592079
